cik,entityName,attribute_name,accn,value,filing_date
721371,"Cardinal Health, Inc.",Revenues,0001193125-10-203886,87408200000,2010-09-02
721371,"Cardinal Health, Inc.",Revenues,0001193125-10-203886,23437100000,2010-09-02
721371,"Cardinal Health, Inc.",Revenues,0001193125-10-203886,24117800000,2010-09-02
721371,"Cardinal Health, Inc.",Revenues,0001193125-10-203886,24089300000,2010-09-02
721371,"Cardinal Health, Inc.",Revenues,0001193125-10-203886,95991500000,2010-09-02
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-233322,95991500000,2011-08-26
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-296273,95991500000,2011-11-04
721371,"Cardinal Health, Inc.",Revenues,0001193125-10-203886,24347300000,2010-09-02
721371,"Cardinal Health, Inc.",Revenues,0001193125-10-203886,24780700000,2010-09-02
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-233322,24780700000,2011-08-26
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-296273,24780700000,2011-11-04
721371,"Cardinal Health, Inc.",Revenues,0001193125-10-203886,24919700000,2010-09-02
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-233322,24919700000,2011-08-26
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-296273,24919700000,2011-11-04
721371,"Cardinal Health, Inc.",Revenues,0001193125-10-203886,24342800000,2010-09-02
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-233322,24342800000,2011-08-26
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-296273,24342800000,2011-11-04
721371,"Cardinal Health, Inc.",Revenues,0001193125-10-203886,98502800000,2010-09-02
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-233322,98502800000,2011-08-26
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-296273,98502800000,2011-11-04
721371,"Cardinal Health, Inc.",Revenues,0000721371-12-000069,98503000000,2012-08-22
721371,"Cardinal Health, Inc.",Revenues,0001193125-10-203886,24459600000,2010-09-02
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-233322,24459600000,2011-08-26
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-296273,24459600000,2011-11-04
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-233322,24437500000,2011-08-26
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-296273,24437500000,2011-11-04
721371,"Cardinal Health, Inc.",Revenues,0000721371-12-000069,24438000000,2012-08-22
721371,"Cardinal Health, Inc.",Revenues,0000721371-12-000069,25372000000,2012-08-22
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-233322,25371800000,2011-08-26
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-296273,25371800000,2011-11-04
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-233322,26071400000,2011-08-26
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-296273,26071400000,2011-11-04
721371,"Cardinal Health, Inc.",Revenues,0000721371-12-000069,26071000000,2012-08-22
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-233322,102644200000,2011-08-26
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-296273,102644200000,2011-11-04
721371,"Cardinal Health, Inc.",Revenues,0000721371-12-000069,102644000000,2012-08-22
721371,"Cardinal Health, Inc.",Revenues,0000721371-13-000154,102644000000,2013-08-20
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-233322,26763500000,2011-08-26
721371,"Cardinal Health, Inc.",Revenues,0001193125-11-296273,26763500000,2011-11-04
721371,"Cardinal Health, Inc.",Revenues,0000721371-12-000069,26764000000,2012-08-22
721371,"Cardinal Health, Inc.",Revenues,0000721371-12-000069,26792000000,2012-08-22
721371,"Cardinal Health, Inc.",Revenues,0000721371-13-000154,26792000000,2013-08-20
721371,"Cardinal Health, Inc.",Revenues,0000721371-12-000069,27078000000,2012-08-22
721371,"Cardinal Health, Inc.",Revenues,0000721371-13-000154,27078000000,2013-08-20
721371,"Cardinal Health, Inc.",Revenues,0000721371-12-000069,26918000000,2012-08-22
721371,"Cardinal Health, Inc.",Revenues,0000721371-13-000154,26918000000,2013-08-20
721371,"Cardinal Health, Inc.",Revenues,0000721371-12-000069,107552000000,2012-08-22
721371,"Cardinal Health, Inc.",Revenues,0000721371-13-000154,107552000000,2013-08-20
721371,"Cardinal Health, Inc.",Revenues,0000721371-14-000181,107552000000,2014-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-12-000069,26764000000,2012-08-22
721371,"Cardinal Health, Inc.",Revenues,0000721371-13-000154,26764000000,2013-08-20
721371,"Cardinal Health, Inc.",Revenues,0000721371-13-000154,25889000000,2013-08-20
721371,"Cardinal Health, Inc.",Revenues,0000721371-14-000181,25889000000,2014-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-13-000154,25232000000,2013-08-20
721371,"Cardinal Health, Inc.",Revenues,0000721371-14-000181,25232000000,2014-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-13-000154,24552000000,2013-08-20
721371,"Cardinal Health, Inc.",Revenues,0000721371-14-000181,24552000000,2014-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-13-000154,101093000000,2013-08-20
721371,"Cardinal Health, Inc.",Revenues,0000721371-14-000181,101093000000,2014-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-15-000107,101093000000,2015-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-13-000154,25420000000,2013-08-20
721371,"Cardinal Health, Inc.",Revenues,0000721371-14-000181,25420000000,2014-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-14-000181,24523000000,2014-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-15-000107,24523000000,2015-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-14-000181,22240000000,2014-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-15-000107,22240000000,2015-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-14-000181,21427000000,2014-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-15-000107,21427000000,2015-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-14-000181,91084000000,2014-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-15-000107,91084000000,2015-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-16-000277,91084000000,2016-08-12
721371,"Cardinal Health, Inc.",Revenues,0000721371-14-000181,22894000000,2014-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-15-000107,22894000000,2015-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-15-000107,24070000000,2015-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-16-000277,24070000000,2016-08-12
721371,"Cardinal Health, Inc.",Revenues,0000721371-15-000107,25537000000,2015-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-16-000277,25537000000,2016-08-12
721371,"Cardinal Health, Inc.",Revenues,0000721371-15-000107,25375000000,2015-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-16-000277,25375000000,2016-08-12
721371,"Cardinal Health, Inc.",Revenues,0000721371-15-000107,102531000000,2015-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-16-000277,102531000000,2016-08-12
721371,"Cardinal Health, Inc.",Revenues,0000721371-17-000083,102531000000,2017-08-10
721371,"Cardinal Health, Inc.",Revenues,0000721371-15-000107,27547000000,2015-08-13
721371,"Cardinal Health, Inc.",Revenues,0000721371-16-000277,27547000000,2016-08-12
721371,"Cardinal Health, Inc.",Revenues,0000721371-16-000277,28055000000,2016-08-12
721371,"Cardinal Health, Inc.",Revenues,0000721371-17-000083,28055000000,2017-08-10
721371,"Cardinal Health, Inc.",Revenues,0000721371-16-000277,31445000000,2016-08-12
721371,"Cardinal Health, Inc.",Revenues,0000721371-17-000083,31445000000,2017-08-10
721371,"Cardinal Health, Inc.",Revenues,0000721371-16-000277,30662000000,2016-08-12
721371,"Cardinal Health, Inc.",Revenues,0000721371-17-000083,30662000000,2017-08-10
721371,"Cardinal Health, Inc.",Revenues,0000721371-16-000277,121546000000,2016-08-12
721371,"Cardinal Health, Inc.",Revenues,0000721371-17-000083,121546000000,2017-08-10
721371,"Cardinal Health, Inc.",Revenues,0000721371-18-000077,121546000000,2018-08-22
721371,"Cardinal Health, Inc.",Revenues,0000721371-16-000277,31384000000,2016-08-12
721371,"Cardinal Health, Inc.",Revenues,0000721371-17-000083,31384000000,2017-08-10
721371,"Cardinal Health, Inc.",Revenues,0000721371-17-000083,32039000000,2017-08-10
721371,"Cardinal Health, Inc.",Revenues,0000721371-18-000077,32039000000,2018-08-22
721371,"Cardinal Health, Inc.",Revenues,0000721371-17-000083,33150000000,2017-08-10
721371,"Cardinal Health, Inc.",Revenues,0000721371-18-000077,33150000000,2018-08-22
721371,"Cardinal Health, Inc.",Revenues,0000721371-17-000083,31821000000,2017-08-10
721371,"Cardinal Health, Inc.",Revenues,0000721371-18-000077,31821000000,2018-08-22
721371,"Cardinal Health, Inc.",Revenues,0000721371-17-000083,129976000000,2017-08-10
721371,"Cardinal Health, Inc.",Revenues,0000721371-18-000077,129976000000,2018-08-22
721371,"Cardinal Health, Inc.",Revenues,0000721371-19-000090,129976000000,2019-08-20
721371,"Cardinal Health, Inc.",Revenues,0000721371-17-000083,32966000000,2017-08-10
721371,"Cardinal Health, Inc.",Revenues,0000721371-18-000077,32966000000,2018-08-22
721371,"Cardinal Health, Inc.",Revenues,0000721371-18-000077,32641000000,2018-08-22
721371,"Cardinal Health, Inc.",Revenues,0000721371-19-000090,32641000000,2019-08-20
721371,"Cardinal Health, Inc.",Revenues,0000721371-18-000077,35186000000,2018-08-22
721371,"Cardinal Health, Inc.",Revenues,0000721371-19-000090,35186000000,2019-08-20
